Chr10_Group_1	chr10:318076
Chr10_Group_214	chr10:52957721
Chr10_Group_215	chr10:53944442
Chr10_Group_216	chr10:53983258
Chr10_Group_217	chr10:54199812
Chr10_Group_218	chr10:54223977
Chr10_Group_220	chr10:54334653
Chr10_Group_221	chr10:54412493
Chr10_Group_222	chr10:54431790
Chr10_Group_223	chr10:54525509
Chr10_Group_224	chr10:54534613
Chr10_Group_226	chr10:54536839
Chr10_Group_228	chr10:55384743
Chr10_Group_229	chr10:56620608
Chr10_Group_230	chr10:56661362
Chr10_Group_231	chr10:56777024
Chr10_Group_12277992	chr10:12290902
Chr10_Group_233	chr10:60302251
Chr10_Group_234	chr10:60586992
Chr10_Group_39	chr10:6606541
Chr10_Group_236	chr10:61380482
Chr10_Group_237	chr10:61339893
Chr10_Group_238	chr10:61434519
Chr10_Group_239	chr10:61441445
Chr10_Group_241	chr10:61690195
Chr10_Group_242	chr10:62177876
Chr10_Group_243	chr10:62322034
Chr10_Group_244	chr10:63467553
Chr10_Group_245	chr10:63524591
Chr10_Group_246	chr10:63736667
Chr10_Group_247	chr10:63782480
Chr10_Group_248	chr10:63812021
Chr10_Group_249	chr10:63830286
Chr10_Group_250	chr10:64012308
Chr10_Group_251	chr10:63958112
Chr10_Group_252	chr10:64052337
Chr10_Group_253	chr10:64036881
Chr10_Group_254	chr10:64187564
Chr10_Group_255	chr10:64254902
Chr10_Group_256	chr10:64289286
Chr10_Group_257	chr10:64369999
Chr10_Group_258	chr10:64789424
Chr10_Group_259	chr10:64382359
Chr10_Group_260	chr10:64413701
Chr10_Group_261	chr10:64431206
Chr10_Group_262	chr10:64415184
Chr10_Group_263	chr10:64391375
Chr10_Group_264	chr10:64507904
Chr10_Group_265	chr10:64445564
Chr10_Group_267	chr10:64515907
Chr10_Group_268	chr10:64470675
Chr10_Group_269	chr10:64582482
Chr10_Group_270	chr10:64580575
Chr10_Group_12302607	chr10:12315308
Chr10_Group_272	chr10:64840665
Chr10_Group_273	chr10:64857872
Chr10_Group_274	chr10:65149966
Chr10_Group_275	chr10:65135967
Chr10_Group_276	chr10:64945403
Chr10_Group_278	chr10:65197170
Chr10_Group_279	chr10:65426785
Chr10_Group_103541016	chr10:103541016
Chr10_Group_281	chr10:67965010
Chr10_Group_283	chr10:68689083
Chr10_Group_284	chr10:68845715
Chr10_Group_285	chr10:69834828
Chr10_Group_287	chr10:69339164
Chr10_Group_289	chr10:69947271
Chr10_Group_290	chr10:70005612
Chr10_Group_293	chr10:70939801
Chr10_Group_295	chr10:70931474
Chr10_Group_296	chr10:70982941
Chr10_Group_298	chr10:71089843
Chr10_Group_299	chr10:71091013
Chr10_Group_300	chr10:71096640
Chr10_Group_302	chr10:71099913
Chr10_Group_303	chr10:71245276
Chr10_Group_304	chr10:71465928
Chr10_Group_305	chr10:72005190
Chr10_Group_306	chr10:72114378
Chr10_Group_307	chr10:72332726
Chr10_Group_308	chr10:72644378
Chr10_Group_309	chr10:73135919
Chr10_Group_310	chr10:73508791
Chr10_Group_311	chr10:73520632
Chr10_Group_312	chr10:73525525
Chr10_Group_313	chr10:73566203
Chr10_Group_314	chr10:73778267
Chr10_Group_315	chr10:75421428
Chr10_Group_316	chr10:75671145
Chr10_Group_317	chr10:75628738
Chr10_Group_318	chr10:76295789
Chr10_Group_319	chr10:76812450
Chr10_Group_320	chr10:78157572
Chr10_Group_321	chr10:78150285
Chr10_Group_323	chr10:78196612
Chr10_Group_324	chr10:78313613
Chr10_Group_325	chr10:78646536
Chr10_Group_326	chr10:78695467
Chr10_Group_327	chr10:79063542
Chr10_Group_328	chr10:79401316
Chr10_Group_329	chr10:79680434
Chr10_Group_330	chr10:80800318
Chr10_Group_331	chr10:80819132
Chr10_Group_332	chr10:80846763
Chr10_Group_333	chr10:80919314
Chr10_Group_334	chr10:80949988
Chr10_Group_335	chr10:80943236
Chr10_Group_336	chr10:81046424
Chr10_Group_337	chr10:81123444
Chr10_Group_338	chr10:81164146
Chr10_Group_339	chr10:81890831
Chr10_Group_340	chr10:81694950
Chr10_Group_341	chr10:81721477
Chr10_Group_342	chr10:81705433
Chr10_Group_343	chr10:81706324
Chr10_Group_345	chr10:81788104
Chr10_Group_346	chr10:81882370
Chr10_Group_348	chr10:82252439
Chr10_Group_104886621	chr10:104886621
Chr10_Group_352	chr10:83566686
Chr10_Group_353	chr10:84722619
Chr10_Group_356	chr10:84949895
Chr10_Group_360	chr10:85644615
Chr10_Group_361	chr10:86015573
Chr10_Group_362	chr10:87410904
Chr10_Group_363	chr10:87993341
Chr10_Group_364	chr10:88919319
Chr10_Group_365	chr10:89699209
Chr10_Group_366	chr10:89824771
Chr10_Group_367	chr10:90023033
Chr10_Group_369	chr10:90750990
Chr10_Group_370	chr10:90759724
Chr10_Group_131185011	chr10:131185011
Chr10_Group_372	chr10:91447419
Chr10_Group_373	chr10:92592956
Chr10_Group_375	chr10:93348120
Chr10_Group_376	chr10:93442240
Chr10_Group_377	chr10:94284069
Chr10_Group_378	chr10:94461031
Chr10_Group_380	chr10:94502244
Chr10_Group_381	chr10:94658207
Chr10_Group_382	chr10:94839642
Chr10_Group_383	chr10:94943857
Chr10_Group_121708929	chr10:121708929
Chr10_Group_386	chr10:95463026
Chr10_Group_387	chr10:95894727
Chr10_Group_388	chr10:96013705
Chr10_Group_389	chr10:96036306
Chr10_Group_390	chr10:96026654
Chr10_Group_391	chr10:96019029
Chr10_Group_392	chr10:96064336
Chr10_Group_393	chr10:96183351
Chr10_Group_394	chr10:96703495
Chr10_Group_395	chr10:96502419
Chr10_Group_396	chr10:96543674
Chr10_Group_397	chr10:96726658
Chr10_Group_398	chr10:96728872
Chr10_Group_399	chr10:96808442
Chr10_Group_400	chr10:97053775
Chr10_Group_401	chr10:97395962
Chr10_Group_402	chr10:98470341
Chr10_Group_403	chr10:98967726
Chr10_Group_404	chr10:99072507
Chr10_Group_405	chr10:99096676
Chr10_Group_406	chr10:99145692
Chr10_Group_408	chr10:99359575
Chr10_Group_409	chr10:99464866
Chr10_Group_411	chr10:99559721
Chr10_Group_415	chr10:100165997
Chr10_Group_416	chr10:100855702
Chr10_Group_424	chr10:101329158
Chr10_Group_427	chr10:101351704
Chr10_Group_429	chr10:101795361
Chr10_Group_438	chr10:102055546
Chr10_Group_440	chr10:102119000
Chr10_Group_115481018	chr10:115484674
Chr10_Group_443	chr10:102425949
Chr10_Group_151	chr10:28025771
Chr10_Group_134568387	chr10:134568387
Chr10_Group_453	chr10:103816288
Chr10_Group_454	chr10:103815495
Chr10_Group_456	chr10:103880118
Chr10_Group_459	chr10:104071973
Chr10_Group_105693644	chr10:105693644
Chr10_Group_125772237	chr10:125772237
Chr10_Group_463	chr10:104295845
Chr10_Group_469	chr10:104487443
Chr10_Group_104487382	chr10:104487382
Chr10_Group_476	chr10:104741583
Chr10_Group_477	chr10:104698978
Chr10_Group_481	chr10:105003721
Chr10_Group_486	chr10:105342672
Chr10_Group_487	chr10:105477163
Chr10_Group_491	chr10:105613178
Chr10_Group_494	chr10:105846074
Chr10_Group_499	chr10:106947006
Chr10_Group_500	chr10:107516352
Chr10_Group_504	chr10:112186148
Chr10_Group_506	chr10:112909105
Chr10_Group_511	chr10:114280702
Chr10_Group_516	chr10:114459697
Chr10_Group_518	chr10:114726843
Chr10_Group_522	chr10:114887218
Chr10_Group_111774807	chr10:111755278
Chr10_Group_16919052	chr10:16919052
Chr10_Group_526	chr10:115235114
Chr10_Group_528	chr10:115348046
Chr10_Group_100702737	chr10:100702737
Chr10_Group_104337938	chr10:104337938
Chr10_Group_533	chr10:118187444
Chr10_Group_535	chr10:118563329
Chr10_Group_537	chr10:119260225
Chr10_Group_541	chr10:119533757
Chr10_Group_543	chr10:121010256
Chr10_Group_545	chr10:121204660
Chr10_Group_547	chr10:121372328
Chr10_Group_550	chr10:121536327
Chr10_Group_551	chr10:122840277
Chr10_Group_118827560	chr10:118860395
Chr10_Group_556	chr10:123120036
Chr10_Group_559	chr10:123327876
Chr10_Group_561	chr10:123349324
Chr10_Group_563	chr10:123436950
Chr10_Group_565	chr10:123663944
Chr10_Group_568	chr10:124015986
Chr10_Group_103842365	chr10:103842365
Chr10_Group_574	chr10:125226178
Chr10_Group_576	chr10:125251751
Chr10_Group_578	chr10:126235390
Chr10_Group_580	chr10:126293309
Chr10_Group_585	chr10:126426148
Chr10_Group_586	chr10:126846214
Chr10_Group_588	chr10:128373707
Chr10_Group_590	chr10:129136409
Chr10_Group_592	chr10:130938725
Chr10_Group_594	chr10:131228327
Chr10_Group_596	chr10:131426022
Chr10_Group_599	chr10:133172119
Chr10_Group_601	chr10:134358357
Chr10_Group_603	chr10:135184421
Chr10_Group_20	chr10:6081222
Chr10_Group_132747887	chr10:132747887
Chr10_Group_640	chr10:95659958
Chr10_Group_647	chr10:104423800
Chr10_Group_655	chr10:115814806
Chr10_Group_101788308	chr10:101799306
Chr10_Group_112245400	chr10:112245400
Chr10_Group_124201071	chr10:124205615
Chr10_Group_127836840	chr10:127836840
Chr10_Group_113042093	chr10:113042093
Chr10_Group_11836092	chr10:11836092
Chr10_Group_15569598	chr10:15569598
Chr10_Group_105714399	chr10:105714399
Chr10_Group_107354812	chr10:107354812
Chr10_Group_1065710	chr10:982390
Chr10_Group_126343931	chr10:126363647
Chr10_Group_123554584	chr10:123554584
Chr10_Group_115057443	chr10:115057443
Chr10_Group_100127551	chr10:100127551
Chr10_Group_101301093	chr10:101311824
Chr10_Group_115805056	chr10:115797215
Chr10_Group_105661315	chr10:105667078
Chr10_Group_371	chr10:91005903
Chr10_Group_123093901	chr10:123093901
Chr10_Group_105438112	chr10:105378760
Chr10_Group_114498476	chr10:114498476
Chr10_Group_109575094	chr10:109575094
Chr10_Group_33	chr10:6114010
Chr10_Group_114752503	chr10:114770659
Chr10_Group_115128491	chr10:115128491
Chr10_Group_101278725	chr10:101285557
Chr10_Group_131265545	chr10:131265545
Chr10_Group_104414221	chr10:104414221
Chr10_Group_118397971	chr10:118397971
Chr10_Group_104225832	chr10:104225832
Chr10_Group_126274612	chr10:126274612
Chr10_Group_524	chr10:115106330
Chr10_Group_102075479	chr10:102075479
Chr10_Group_14615644	chr10:14615644
Chr10_Group_104124605	chr10:104124330
Chr10_Group_105176179	chr10:105176179
Chr10_Group_195	chr10:46082985
Chr10_Group_123352220	chr10:123352220
Chr10_Group_105675946	chr10:105681572
Chr10_Group_128777390	chr10:128777390
Chr10_Group_124214448	chr10:124220539
Chr10_Group_114711755	chr10:114711755
Chr10_Group_103937244	chr10:103937244
Chr10_Group_114154752	chr10:114154752
Chr10_Group_10917121	chr10:10917121
Chr10_Group_106632478	chr10:106634237
Chr10_Group_1731871	chr10:1731871
Chr10_Group_114468137	chr10:114486801
Chr10_Group_385	chr10:95348182
Chr10_Group_125234492	chr10:125234492
Chr10_Group_104050006	chr10:104058491
Chr10_Group_124167512	chr10:124177113
Chr10_Group_232	chr10:59955538
Chr10_Group_101805442	chr10:101922041
Chr10_Group_113913222	chr10:113922303
Chr10_Group_47	chr10:8353101
Chr10_Group_105321881	chr10:105321881
Chr10_Group_103605714	chr10:103605714
Chr10_Group_115250650	chr10:115250650
Chr10_Group_116569565	chr10:116569565
Chr10_Group_101283328	chr10:101290889
Chr10_Group_104082688	chr10:104082688
Chr10_Group_122897959	chr10:122898328
Chr10_Group_102395440	chr10:102395440
Chr10_Group_122945086	chr10:122945086
Chr10_Group_114777670	chr10:114778365
Chr10_Group_119301703	chr10:119300641
Chr10_Group_102997581	chr10:102988394
Chr10_Group_13606490	chr10:13606490
Chr10_Group_123334930	chr10:123344399
Chr10_Group_11720308	chr10:11718852
Chr10_Group_55	chr10:8936162
Chr10_Group_103816828	chr10:103659296
Chr10_Group_121429633	chr10:121429633
Chr10_Group_280	chr10:67966574
Chr10_Group_124237498	chr10:124237555
Chr10_Group_104625886	chr10:104731941
Chr10_Group_102604514	chr10:102604514
Chr10_Group_104654577	chr10:104654577
Chr10_Group_124677899	chr10:124677899
Chr10_Group_102299407	chr10:102300932
Chr10_Group_104595248	chr10:104612129
Chr10_Group_15810354	chr10:15841821
Chr10_Group_121311048	chr10:121311048
Chr10_Group_123801422	chr10:123801422
Chr10_Group_100147060	chr10:100152610
Chr10_Group_135197336	chr10:135197336
Chr10_Group_115781527	chr10:115781527
Chr10_Group_120278944	chr10:120278944
Chr10_Group_104697781	chr10:104697781
Chr10_Group_123033549	chr10:123040891
Chr10_Group_126439381	chr10:126403873
Chr10_Group_121149403	chr10:121149403
Chr10_Group_12918764	chr10:12918764
Chr10_Group_130682872	chr10:130682872
Chr10_Group_119283708	chr10:119283708
Chr11_Group_117643264	chr11:117643264
Chr11_Group_1	chr11:233829
Chr11_Group_2	chr11:203788
Chr11_Group_4	chr11:193863
Chr11_Group_5	chr11:229977
Chr11_Group_126283785	chr11:126287147
Chr11_Group_10	chr11:308156
Chr11_Group_11	chr11:308065
Chr11_Group_12	chr11:327143
Chr11_Group_13	chr11:596010
Chr11_Group_15	chr11:589564
Chr11_Group_16	chr11:803017
Chr11_Group_17	chr11:838722
Chr11_Group_18	chr11:831818
Chr11_Group_19	chr11:1093945
Chr11_Group_21	chr11:1324772
Chr11_Group_22	chr11:2178670
Chr11_Group_116617240	chr11:116617240
Chr11_Group_26	chr11:1898664
Chr11_Group_116807343	chr11:116807343
Chr11_Group_28	chr11:1909006
Chr11_Group_30	chr11:2024544
Chr11_Group_41	chr11:2311152
Chr11_Group_102719534	chr11:102733168
Chr11_Group_349	chr11:65555611
Chr11_Group_50	chr11:2484803
Chr11_Group_52	chr11:2644544
Chr11_Group_56	chr11:2782164
Chr11_Group_60	chr11:2831541
Chr11_Group_64	chr11:2857233
Chr11_Group_100501571	chr11:100501571
Chr11_Group_70	chr11:4790575
Chr11_Group_71	chr11:5186093
Chr11_Group_3887176	chr11:3887176
Chr11_Group_74	chr11:5225635
Chr11_Group_77	chr11:5306509
Chr11_Group_79	chr11:5471746
Chr11_Group_80	chr11:5690544
Chr11_Group_82	chr11:5701409
Chr11_Group_355	chr11:65783915
Chr11_Group_84	chr11:7367095
Chr11_Group_87	chr11:7968359
Chr11_Group_119029849	chr11:119029849
Chr11_Group_90	chr11:8255408
Chr11_Group_126244955	chr11:126246081
Chr11_Group_92	chr11:8604593
Chr11_Group_95	chr11:9760757
Chr11_Group_2752609	chr11:2752609
Chr11_Group_100	chr11:10307707
Chr11_Group_102	chr11:10388782
Chr11_Group_103	chr11:10390581
Chr11_Group_104	chr11:10673891
Chr11_Group_105	chr11:10708489
Chr11_Group_106	chr11:10745394
Chr11_Group_107	chr11:11151466
Chr11_Group_108	chr11:12050652
Chr11_Group_109	chr11:12688227
Chr11_Group_111	chr11:12795295
Chr11_Group_112	chr11:12867214
Chr11_Group_113	chr11:13304672
Chr11_Group_114	chr11:13288698
Chr11_Group_115	chr11:13358647
Chr11_Group_116	chr11:13940036
Chr11_Group_118	chr11:14021639
Chr11_Group_119	chr11:14066486
Chr11_Group_120	chr11:14293920
Chr11_Group_121	chr11:14224346
Chr11_Group_122	chr11:14504463
Chr11_Group_123	chr11:14616985
Chr11_Group_124	chr11:14997846
Chr11_Group_125	chr11:14915094
Chr11_Group_126	chr11:15128346
Chr11_Group_127	chr11:15702273
Chr11_Group_128	chr11:15947449
Chr11_Group_129	chr11:16250183
Chr11_Group_130	chr11:16250538
Chr11_Group_131	chr11:16359567
Chr11_Group_132	chr11:16334110
Chr11_Group_1241221	chr11:1241221
Chr11_Group_134	chr11:16410499
Chr11_Group_135	chr11:16481950
Chr11_Group_136	chr11:16685591
Chr11_Group_137	chr11:16664123
Chr11_Group_138	chr11:16630779
Chr11_Group_139	chr11:16922654
Chr11_Group_140	chr11:16902268
Chr11_Group_141	chr11:17008605
Chr11_Group_142	chr11:17160148
Chr11_Group_144	chr11:17340619
Chr11_Group_146	chr11:17409101
Chr11_Group_147	chr11:18283204
Chr11_Group_148	chr11:18341208
Chr11_Group_149	chr11:18340348
Chr11_Group_150	chr11:18370898
Chr11_Group_151	chr11:18445146
Chr11_Group_152	chr11:18644627
Chr11_Group_153	chr11:18727448
Chr11_Group_154	chr11:18751041
Chr11_Group_155	chr11:19224677
Chr11_Group_156	chr11:19740731
Chr11_Group_157	chr11:20240584
Chr11_Group_108406943	chr11:108275199
Chr11_Group_160	chr11:21565079
Chr11_Group_161	chr11:22105030
Chr11_Group_163	chr11:24392759
Chr11_Group_164	chr11:25892582
Chr11_Group_165	chr11:26162740
Chr11_Group_169	chr11:26346831
Chr11_Group_170	chr11:27307423
Chr11_Group_171	chr11:27555905
Chr11_Group_172	chr11:27645960
Chr11_Group_174	chr11:27697652
Chr11_Group_175	chr11:29124182
Chr11_Group_176	chr11:30299080
Chr11_Group_177	chr11:30547438
Chr11_Group_179	chr11:30758884
Chr11_Group_180	chr11:30931332
Chr11_Group_181	chr11:30903442
Chr11_Group_182	chr11:31317797
Chr11_Group_183	chr11:31663882
Chr11_Group_184	chr11:31807524
Chr11_Group_185	chr11:31850105
Chr11_Group_186	chr11:32364187
Chr11_Group_187	chr11:32451093
Chr11_Group_188	chr11:32458807
Chr11_Group_189	chr11:32541784
Chr11_Group_190	chr11:33913568
Chr11_Group_191	chr11:34484542
Chr11_Group_193	chr11:34555191
Chr11_Group_194	chr11:34805849
Chr11_Group_195	chr11:34834204
Chr11_Group_197	chr11:34851760
Chr11_Group_198	chr11:35090913
Chr11_Group_199	chr11:35277840
Chr11_Group_201	chr11:35686478
Chr11_Group_202	chr11:36473052
Chr11_Group_203	chr11:36648777
Chr11_Group_204	chr11:37184338
Chr11_Group_206	chr11:40149300
Chr11_Group_114030799	chr11:114030799
Chr11_Group_113377488	chr11:113388623
Chr11_Group_209	chr11:43505707
Chr11_Group_210	chr11:43728330
Chr11_Group_211	chr11:43633208
Chr11_Group_212	chr11:43763151
Chr11_Group_100624599	chr11:100624599
Chr11_Group_216	chr11:44087989
Chr11_Group_217	chr11:44330610
Chr11_Group_219	chr11:44410862
Chr11_Group_220	chr11:44594611
Chr11_Group_221	chr11:44843134
Chr11_Group_222	chr11:44980383
Chr11_Group_223	chr11:45227567
Chr11_Group_224	chr11:45250732
Chr11_Group_225	chr11:45538920
Chr11_Group_228	chr11:45873091
Chr11_Group_229	chr11:46150619
Chr11_Group_230	chr11:46842671
Chr11_Group_231	chr11:46349869
Chr11_Group_232	chr11:46534397
Chr11_Group_133884137	chr11:133884137
Chr11_Group_234	chr11:46989338
Chr11_Group_235	chr11:47028069
Chr11_Group_237	chr11:46949113
Chr11_Group_239	chr11:46760756
Chr11_Group_241	chr11:47272378
Chr11_Group_242	chr11:47252107
Chr11_Group_243	chr11:47315059
Chr11_Group_244	chr11:47731306
Chr11_Group_246	chr11:47496428
Chr11_Group_247	chr11:47462718
Chr11_Group_248	chr11:47541381
Chr11_Group_249	chr11:47441513
Chr11_Group_252	chr11:47557160
Chr11_Group_253	chr11:48333360
Chr11_Group_254	chr11:47890502
Chr11_Group_123355391	chr11:123358394
Chr11_Group_256	chr11:47888036
Chr11_Group_257	chr11:47969152
Chr11_Group_259	chr11:48518893
Chr11_Group_260	chr11:49559172
Chr11_Group_262	chr11:51512090
Chr11_Group_264	chr11:56175671
Chr11_Group_265	chr11:57107617
Chr11_Group_266	chr11:57131570
Chr11_Group_267	chr11:57195917
Chr11_Group_268	chr11:57203009
Chr11_Group_269	chr11:57355970
Chr11_Group_270	chr11:57515736
Chr11_Group_271	chr11:57793803
Chr11_Group_272	chr11:58060192
Chr11_Group_274	chr11:58373905
Chr11_Group_275	chr11:58472799
Chr11_Group_276	chr11:59130112
Chr11_Group_277	chr11:59837192
Chr11_Group_278	chr11:59224144
Chr11_Group_280	chr11:59623378
Chr11_Group_122880281	chr11:122880281
Chr11_Group_283	chr11:59978968
Chr11_Group_284	chr11:59997666
Chr11_Group_285	chr11:60760612
Chr11_Group_112433438	chr11:112434409
Chr11_Group_108165407	chr11:108224284
Chr11_Group_288	chr11:60832282
Chr11_Group_289	chr11:61278246
Chr11_Group_290	chr11:61291922
Chr11_Group_291	chr11:61417472
Chr11_Group_292	chr11:61450543
Chr11_Group_293	chr11:61490486
Chr11_Group_294	chr11:61583319
Chr11_Group_295	chr11:61606866
Chr11_Group_296	chr11:61548559
Chr11_Group_297	chr11:61603561
Chr11_Group_298	chr11:61597212
Chr11_Group_299	chr11:61647439
Chr11_Group_301	chr11:61678754
Chr11_Group_302	chr11:61663691
Chr11_Group_303	chr11:61711475
Chr11_Group_304	chr11:61722645
Chr11_Group_305	chr11:61795586
Chr11_Group_306	chr11:62001414
Chr11_Group_118486067	chr11:118486067
Chr11_Group_308	chr11:62199817
Chr11_Group_309	chr11:62186542
Chr11_Group_310	chr11:62197427
Chr11_Group_393	chr11:70326593
Chr11_Group_312	chr11:62376997
Chr11_Group_314	chr11:62915346
Chr11_Group_315	chr11:63680719
Chr11_Group_316	chr11:63852716
Chr11_Group_317	chr11:63974966
Chr11_Group_318	chr11:63862747
Chr11_Group_319	chr11:63999240
Chr11_Group_321	chr11:64048912
Chr11_Group_322	chr11:64075663
Chr11_Group_323	chr11:64024056
Chr11_Group_324	chr11:64150370
Chr11_Group_326	chr11:64435906
Chr11_Group_327	chr11:64332788
Chr11_Group_328	chr11:64410578
Chr11_Group_330	chr11:64478063
Chr11_Group_331	chr11:64546391
Chr11_Group_333	chr11:64904908
Chr11_Group_334	chr11:65091609
Chr11_Group_335	chr11:65143892
Chr11_Group_336	chr11:65253800
Chr11_Group_337	chr11:65293198
Chr11_Group_338	chr11:65244538
Chr11_Group_339	chr11:65336819
Chr11_Group_341	chr11:65351606
Chr11_Group_342	chr11:65357874
Chr11_Group_343	chr11:65466282
Chr11_Group_344	chr11:65412035
Chr11_Group_345	chr11:65391317
Chr11_Group_347	chr11:65473798
Chr11_Group_348	chr11:65542298
Chr11_Group_2847069	chr11:2850705
Chr11_Group_350	chr11:65560620
Chr11_Group_351	chr11:65632515
Chr11_Group_352	chr11:65654903
Chr11_Group_353	chr11:65593444
Chr11_Group_116654435	chr11:116654435
Chr11_Group_356	chr11:65895166
Chr11_Group_357	chr11:66050712
